,name,price,area_m2,date,floor_number,age,bath_number,district,room_number,total_floor_number,age_new,district_new,room_number_new,area_new
61,SALİHLİ MERKEZDE KİRALIK 3+1,15.0,140.0,11-11-2023,1.0,5.0,1,Eski Cami,3 + 1,8.0,0.0,2.0,3.0,5.0
62,ALİCAN GAYRİMENKULDEN AKMESCİT MAH. KİRALIK DAİRE,20.0,125.0,19-10-2023,2.0,10.0,1,Akmescit,3 + 1,5.0,1.0,1.0,3.0,4.0
63,Manisa Yunusemre 75.Yıl Mh.Kiralık 1+1 Arka  Cephe 1 Nolu Daire,12.0,65.0,01-11-2023,1.0,0.0,1,75. Yıl,1 + 1,2.0,0.0,1.0,1.0,1.0
64,KOÇAK'TAN KİRALIK 3+1 KOMBİLİ DAİRE,12.0,138.0,07-11-2023,6.0,18.0,1,2. Anafartalar,3 + 1,8.0,3.0,1.0,3.0,5.0
65,Manisa Muradiye Mah.Çeşme Life Sitesinde Full Eşyalı 1+1 Kiralık,13.0,75.0,10-11-2023,3.0,3.0,1,Muradiye,1 + 1,3.0,0.0,1.0,1.0,2.0
66,KİRALIK KONUTLARDA SIFIR DAIRE,10.0,120.0,08-11-2023,2.0,0.0,1,Selvilitepe,2 + 1,4.0,0.0,2.0,2.0,4.0
67,Manisa Kula'da D.gaz Kombili Merkezi Konumda  145 m² 3+1Geniş Daire,7.0,160.0,13-11-2023,1.0,10.0,1,Seyitali,3 + 1,3.0,1.0,3.0,3.0,6.0
68,Manisa Yunusemre Belediyesi ve Batı Kışla Yakını Kiralık Daire,20.0,150.0,09-11-2023,5.0,15.0,1,Yeni Mahalle,3 + 1,6.0,2.0,0.0,3.0,6.0
69,AKHİSAR GÜRBÜZ EMLAK TAN RAĞIPBEY MAH.TAHİRÜN CADDESİNDE 5.KAT DOĞALGAZLI KİRALIK DAİRE,6.5,125.0,13-11-2023,5.0,30.0,1,Ragıp Bey,3 + 1,5.0,5.0,3.0,3.0,4.0
70,Alaşehir İstasyon Mahallesi 2+1 Kiralık Eşyalı Daire,7.5,90.0,11-11-2023,2.0,30.0,1,İstasyon,2 + 1,2.0,5.0,3.0,2.0,3.0
71,BluEstate'ten EKMAS MANİSA'da 1+1 EŞYASIZ KİRALIK DAİRE,9.5,45.0,10-11-2023,2.0,0.0,1,Muradiye,1 + 1,2.0,0.0,1.0,1.0,0.0
72,Startkey Elit2'den Keçiliköy OSB / Anemon Hotel Civari,12.5,145.0,11-11-2023,2.0,11.0,2,Keçili Köy,3 + 1,4.0,2.0,1.0,3.0,6.0
73,ÖZ ELİT EMLAK'TAN AKINCILAR MAH. KİRALIK ARA KAT ASANSÖRLÜ DAİRE,12.5,118.0,09-11-2023,3.0,15.0,1,Akıncılar,3 + 1,5.0,2.0,1.0,3.0,4.0
74,bahceşehir koleji yani yapınet arkası kiralık daireler,23.0,130.0,22-10-2023,1.0,0.0,2,Muradiye,3 + 1,3.0,0.0,1.0,3.0,5.0
75,Uncubozköy Mahallesinde 3+1 kiralık ev,18.0,130.0,21-10-2023,2.0,15.0,1,Uncubozköy,3 + 1,5.0,2.0,1.0,3.0,5.0
76,Eşyalı 2+1 daire not:5 Kasımda  boşalacak…,12.0,100.0,02-11-2023,2.0,1.0,1,Keçili Köy,2 + 1,3.0,0.0,1.0,2.0,4.0
77,UZUN EMLAK'TAN GÜZELYURT'TA SİTE İÇERİSİNE 1+1 FULL EŞYALI DAİRE,13.0,70.0,22-09-2023,4.0,13.0,1,Güzelyurt,3 + 1,7.0,2.0,0.0,3.0,2.0
